Seller Name,# Depop Followers,# Items Sold,# Reviews,Star Rating,Social Media Link,Depop Store Link
@ashtonsattire,"1,831 ",300 ,159 ,4.9,https://instagram.com/ashtons.attire,https://www.depop.com/ashtonsattire/
@trsure,"21,900 ",295 ,113 ,4.85,,https://www.depop.com/trsure/
@j11mmy,529 ,289,219 ,4.95,,https://www.depop.com/j11mmy/
@evriday_attire,841 ,287,111 ,4.95,,https://www.depop.com/evriday_attire/
@17collective,"3,704 ",286 ,184 ,5,https://instagram.com/17.collective,https://www.depop.com/17collective/
@tsunamistores,"1,132 ",278 ,120 ,4.45,https://www.instagram.com/tsunamistores_uk/,https://www.depop.com/tsunamistores/
@itsanchana,"1,631 ",273 ,110 ,5,https://www.instagram.com/itsanchana,https://www.depop.com/itsanchana/
@julienkirk,"1,739 ",264 ,279 ,5,https://www.instagram.com/julien_kirk/,https://www.depop.com/julienkirk/
@ashl3yauld,"1,590 ",263 ,167 ,4.95,https://instagram.com/ashl3yauld,https://www.depop.com/ashl3yauld/
@albertomunez,915 ,262 ,112 ,4.9,,https://www.depop.com/albertomunez/
@trustedsolesuk,"1,209 ",259 ,124 ,4.95,https://www.instagram.com/trustedsolesuk,https://www.depop.com/trustedsolesuk/
@stepping_correctuk,620 ,259,55 ,5,https://www.steppingcorrect.com/shop,https://www.depop.com/stepping_correctuk/
@busy__dreaming,"7,529 ",253 ,171 ,4.95,https://instagram.com/busy__dreaming,https://www.depop.com/busy__dreaming/
@hhikes,"2,436 ",250 ,206 ,5,,https://www.depop.com/hhikes/
@jimox,340 ,250,128 ,5,https://linktr.ee/GalaxyJ,https://www.depop.com/jimox/
@tbatesss,353 ,245,124 ,4.9,,https://www.depop.com/tbatesss/
@mkmoda,"5,228 ",238 ,130 ,4.95,,https://www.depop.com/mkmoda/
@jawsell,160 ,238,185 ,5,https://instagram.com/jawselling,https://www.depop.com/jawsell/
@solegallerymcr,"2,853 ",235 ,185 ,4.95,,https://www.depop.com/solegallerymcr/
@millenial_00,"2,199 ",232 ,169 ,5,https://www.instagram.com/millennial.co2017/,https://www.depop.com/millenial_00/
@1jonomarlow,918 ,231 ,125 ,5,,https://www.depop.com/1jonomarlow/
@_mindyp_,521 ,231,98 ,4.95,https://www.instagram.com/_mindyp_,https://www.depop.com/_mindyp_/
@charlienelson2,"4,338 ",230 ,119 ,5,,https://www.depop.com/charlienelson2/
@eleeng,"1,515 ",228 ,169 ,4.95,https://Collection_available_in_London,https://www.depop.com/eleeng/
@garmaholic,278 ,228,103 ,4.7,https://instagram.com/garmaholic,https://www.depop.com/garmaholic/
@firstclasskicks2,"2,048 ",226 ,113 ,5,https://instagram.com/1stclass.kicks?utm_medium=copy_link,https://www.depop.com/firstclasskicks2/
@wootton,145 ,221,125 ,4.75,,https://www.depop.com/wootton/
@bethscreps,557 ,219,118 ,5,,https://www.depop.com/bethscreps/
@jglews,268 ,219,108 ,5,,https://www.depop.com/jglews/
@fleecez,"1,397 ",216 ,176 ,5,,https://www.depop.com/fleecez/
@ewansshoes,459 ,216,125 ,4.95,,https://www.depop.com/ewansshoes/
@raheemtw,849 ,212,141 ,5,https://theconnectuk.com,https://www.depop.com/raheemtw/
@parasko,"1,708 ",207 ,163 ,5,,https://www.depop.com/parasko/
@vlonecologne,184 ,207,46 ,4.95,,https://www.depop.com/vlonecologne/
@mxdn,354 ,203,116 ,5,,https://www.depop.com/mxdn/
@rickys_collection,"5,317 ",197 ,221 ,4.9,https://instagram.com/asap__r1cky,https://www.depop.com/rickys_collection/
@loghanlee94,"1,488 ",194 ,101 ,5,,https://www.depop.com/loghanlee94/
@geli1,156 ,191,79 ,5,,https://www.depop.com/geli1/
@scruffypuffin,"1,458 ",190 ,78 ,5,https://www.scruffypuffin.co.uk,https://www.depop.com/scruffypuffin/
@ravi_96,"1,372 ",190 ,127 ,4.95,,https://www.depop.com/ravi_96/
@mdemaine,"6,909 ",186 ,76 ,5,https://www.instagram.com/maddiedemaine/?hl=en,https://www.depop.com/mdemaine/
@thesolesector,640 ,181,64 ,4.9,https://instagram.com/solesctr_,https://www.depop.com/thesolesector/
@vw39,305 ,179,115 ,5,,https://www.depop.com/vw39/
@betbetbettt,"22,700 ",175 ,85 ,5,https://www.instagram.com/betttencourt,https://www.depop.com/betbetbettt/
@hkgarments,"3,044 ",175 ,122 ,5,https://www.instagram.com/hk_garments/,https://www.depop.com/hkgarments/
@naddy_lee,664 ,175,146 ,5,,https://www.depop.com/naddy_lee/
